Name,DisplayName,Type,Visibility
onboardingStatus.comment,Comment,String,FALSE
onboardingInfo.fileName,File Uploaded,String,TRUE
onboardingInfo.uploadTime,Upload Time,Date,TRUE
onboardingStatus.status,Status,String,TRUE
onboardingInfo.tablename,Table Name,String,TRUE
onboardingInfo.url,URL,String,TRUE
onboardingInfo.username,Username,String,TRUE
onboardingInfo.name,Name,String,TRUE
onboardingInfo.priority,Priority,Number,TRUE
onboardingInfo.customerIds,Customers,String,TRUE
organisationInfo.id,Organisation Id,String,FALSE
organisationInfo.name,Maintainer Name,String,TRUE
packageInfo.id,Package Id,String,FALSE
packageInfo.name,Package Name,String,TRUE
packageInstance.id,Package Instance Id,String,FALSE
packageInstance.identifier,Package Identifier,String,TRUE
packageInstance.createdDate,Package Created Date,Date,TRUE
packageInstance.commissionDate,Package Commission Date,Date,TRUE
packageInstance.inventoryStatus,Package Status,String,TRUE
packageInstance.productDescription,Package Product Description,String,TRUE
packageType.id,Package Type Id,String,FALSE
packageType.name,Package Type,String,TRUE
portInfo.ceaseDate,Cease Date,Date,TRUE
portInfo.description,Description,String,TRUE
portInfo.id,Port ID,String,TRUE
portInfo.key,Interface Key,String,TRUE
portInfo.lastModifiedDate,Last Modified Date,Date,TRUE
portInfo.name,Port Name,String,TRUE
portInfo.resourceState,Resource State,String,TRUE
portInfo.usage,Usage,String,TRUE
portInfo.index,Interface Index,String,TRUE
portInfo.speed,Interface Speed,String,TRUE
portInfo.mtu,MTU,String,TRUE
portInfo.physicalAddress,Physical Address,String,TRUE
portInfo.operStatus,Operational Status,String,TRUE
portInfo.type,Interface Type,String,TRUE
probeInfo.dnsNameServer,DNS NameServer,String,TRUE
probeInfo.frequency,Frequency,String,TRUE
probeInfo.packetInterval,Packet Interval,String,TRUE
probeInfo.packetSize,Packet Size,String,TRUE
probeInfo.serviceClass,Service Class,String,TRUE
probeInfo.sourceIPAddress,Source IPAddress,Date,TRUE
probeInfo.sourcePortNumber,Source PortNumber,String,TRUE
probeInfo.startTime,StartTime,Date,TRUE
probeInfo.state,State,String,TRUE
probeInfo.targetIPAddress,Target IPAddress,IpAddress,TRUE
probeInfo.targetPortNumber,Target PortNumber,String,TRUE
probeInfo.targetURL,Target URL,String,TRUE
probeInfo.testID,Test ID,String,TRUE
probeInfo.testLife,Test Life,String,TRUE
probeInfo.testName,Test Name,String,TRUE
probeInfo.testProtocol,Test Protocol,String,TRUE
probeInfo.testType,Test Type,String,TRUE
productRefInfo.productCategory,Product Category,String,TRUE
productRefInfo.productFriendlyName,Product Friendly Name,String,TRUE
productRefInfo.productMappings,Product Mappings,String,TRUE
productRefInfo.productReferenceId,Product Reference ID,String,FALSE
productRefInfo.productSubCategory,Product Subcategory,String,TRUE
productRootElement.identifier,Product Root Element Identifier,String,TRUE
remoteNode.deviceInfo.hostname,Remote Node Hostname,String,TRUE
remoteNode.deviceInfo.id,Remote Node ID,String,FALSE
remoteNode.port,Remote Node Port,String,TRUE
remoteNode.portInfo.id,Remote Node Port Info ID,String,FALSE
remoteNode.portInfo.name,Remote Port Name,String,TRUE
remotePort,Target Port,String,TRUE
requestInfo.id,Request ID,String,TRUE
requestInfo.name,Request Name,String,TRUE
requestInfo.batchId,Request Batch ID,String,TRUE
roleName,Role Name,String,TRUE
scheduleInfo.nextRunTime,Next Run Time,Date,TRUE
scheduleInfo.startDateTime,Start Date Time,Date,TRUE
scheduleInfo.endDateTime,End Date Time,Date,TRUE
scheduleInfo.interval,Interval,String,TRUE
scheduleInfo.cron,CRON,String,TRUE
scheduleInfo.type,Type,String,TRUE
serviceAccountInfo.ids,Service Account IDS,String,FALSE
serviceAccountInfo.id,Service Account ID,String,FALSE
serviceAccountInfo.name,Service Account Name,String,TRUE
siteInfo.customerType,Site Customer Type,String,TRUE
siteInfo.customerName,Site Customer Name,String,TRUE
siteInfo.id,Site ID,String,FALSE
siteInfo.name,Site Name,String,TRUE
siteInfo.reference,Site Reference,String,TRUE
siteInfo.siteType,Site Type,String,TRUE
softwareInfo.id,Software Id,String,FALSE
softwareInfo.name,Software Name,String,TRUE
softwareInfo.commissionDate,Software Commission Date,Date,TRUE
softwareInfo.createdDate,Software Created Date,Date,TRUE
softwareInfo.type,Software Type,Date,TRUE
softwareInfo.version,Software Version,Date,TRUE
softwareInfo.description,Software Description,Date,TRUE
softwareInfo.release,Software Release,String,TRUE
softwareInfo.kernel,Software Kernel,String,TRUE
softwareInfo.platform,Software Platform,String,TRUE
softwareInfo.operatingSystem,Software Operating System,String,TRUE
statusInfo.status,Status,String,TRUE
statusInfo.subStatus,Sub Status,String,TRUE
source.deviceInfo.hostname,Source Management Hostname,String,TRUE
subType,Sub Type,String,TRUE
target.deviceInfo.hostname,Target Management Hostname,String,TRUE
targetPoolInfo.subnets,Subnets,String,TRUE
targetPoolInfo.targets,Targets,String,TRUE
targetPoolInfo.ranges,Ranges,String,TRUE
templateInfo.ids,Template IDs,String,FALSE
templateInfo.id,Template ID,String,FALSE
templateInfo.name,Template Name,String,TRUE
timestamp,Timestamp,Date,TRUE
type,Type,String,TRUE
virtualizationInfo.vendor,Virtualization Vendor,String,TRUE
virtualizationInfo.parent,Virtualization Parent,String,TRUE
virtualizationInfo.role,Virtualization Role,String,TRUE
virtualizationInfo.type,Virtualization Type,String,TRUE
virtualizationInfo.name,Virtualization Name,String,TRUE
virtualizationInfo.virtual,Virtualization Virtual,String,TRUE
